#ID,P1,P2,Result,Result
2031,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000fmvin6T5aj15pmv9lelGl9leBOh9kRjX89kRA649opcsO9opsAK9005Fd900lN9a15tFFa15wmDamBo0gamBqGf400ount00coUt00coU7kdMw67kdO8s7kr3HK7kr3Y97kih6D7kiiI21nP25i1nP7sap00pPSp00xSnp00FURp01AP2r01ARmr01ATQ,P2Win,P2Win
2032,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000gY7t00870imJRmcj1ecvAamKh49amKen9p00uWe9lekm59labJ99004kW900kss7ki4JT7kdHFX7k9lCL9okLo79oprg4p00E4oa15vP6t00c8Wt00c8Wt00c8W9oU9po1kzNrs1kzRth1nfS2E1nfO0P7004kW,P1Win,P2Win
2033,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001hubioyXNvT01AOx401rX0p01qE8a4lPn4p01w0rj0wcwDanQnOA8cRLhba1sy4np01ixOajvM0majvOGip00W4Had0VNRanQl8A7oV6aM7k1xUm7k60Sv7kasQEO01cmYp00UHq7pil3s701byK9pvl8k9pEdDg9pEhF79pElH49pEpJcaggQ6aaggNpe1nQ3oO1nQ8eRzcVKvjp01A1W,P2Win,P1Win
2034,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001kb4img2UBa6vwFGT015nHa6vAaca6vCQ8p0157Tp00YKDa6vCzua6vAGJa6vyNYU01hJBp01nUEj0wcwwp01zdsp01yGbamLi76amLkN2a2bDERa2bGlP4pEtLIaggFSdaggDch9pE8gq9pE3X89pzMOq9pEgQV9pElab9pEpsy7kap687karM4r00iNSa3fwbD7p9yXR7p9xmv1nQbsx1nQg2h7eaMKm,P2Win,P2Win
2035,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,0014jyj16bmkp01ewC42P6gha2bs6Kp01jCmamL8qVamL5K09l1TcH7kiTLk7kiSX97kiWbR7kiYBp7kns7m7knuwT7knwWr7knzmY90A93w90EDaP90J8i990JdF19kWytj9kWFc99kWLTY9phROT9pi6gzt00Q9jr00WQTabUIP57pvcfh7pvft0r01AR0a4lzL2,P2Win,P1Win
2036,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001bU6ingwB19oQCt6r011Y1aggeyaagghf6p00Pp0jn8aMga16EJVq01ATHan8phNan8mARp01AC5p01s1pakAQHAakAOONakAMW3p01jpwp01axsr00YwRGgggW6g017SLg01azHg01dgDg01fWzg01iDv9oQHjb9oQM9g9oQQYl7oMkb67oMmAD7oMp1b7oMrqIa16C40r012Ha,P1Win,P2Win
2037,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001crQimKJ4Qp01ye3jn8aMeN0equXad0WGUp017QEp01z0Wp01pRfp01gYUanQrEVanQoY0ajNp3t9mPie49mPsr19mY0MR9mYoru9oDvGd9oQWlO9oUVPhajNnr5ajNlyk80aje6Gd10mbw05AoI7oHUqE7oI0gJ7k5Xi77k638cr01AB9ad0U0Y,P1Win,P2Win
2038,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001e4bimC0WPp011aGa2bJUza2bHeDN0enO2p01ATAp01ASsp01s18anQsJ7anQq3bGmtaORabyVGVakAVhdp01aheakATotakARvFabyT10jjegyd9mKUCL9mY28t9mL2lB9mTWxM9oz4we9ozdV07oz6VL7oz9mj7ozbLQ7oz68Aq01j937knyEw7knBSfp01s3g,P1Win,P2Win
2039,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001dwsinPPk4GesatI9oUYwd9oQKwT9p0JKYjnQeexr01pmla16Ed9a16BwdanQsJ9p0173AanQq3dajvKIJajvNpIaasSpwafxh1DafxekIT004ogp01AStq01ATCp01gbGp01pkl9mTCEO9mKYV49mLaFgN0enO27keQSt7keLfd7oMkb67oMnoO7oMqCxp01ARm,P2Win,P1Win
2040,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001crQimKJ4Qp01wS5O09Qg8r00YOsafbaILae68f0jnHpJLp0187Vp01z0Wp01pRfp01gYUanQrEVanQoY0ajNnr59mY6HW9mYgUT9n7OhK9n8cVn4nlusB9oDvGd9oQWlO9oUVPht01eRP8b38n480aje6ajNkK97ngNwN7ngQKw7ngTYf7oDvGd7oDyTV7oDC8E,P1Win,P2Win
