,,#ID,P1,P2,Result,,,
下奥核汎用空爆,Nightvision65,1083,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000i4Pin2t1fj19MMiN0zoHha609cha4pguA4ocnsBp00sxValFdw4an7hIR7kdPLd7kih817kmHtO7kici17kdO9S7k9qKo700gbh7nTwKM1nxr0H9p3Rxa9kRyLv9oYIUJp00HiN9pM9adld0aOO9kVHo69pHtyj,P1Win,,1,0
ステージ戦風,,1084,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000e3VU006eGL04uHc8006uxMpUKhpq00L7Tp00LnDp00G0ap00xo2p00naLp00grAwpVa3ywpQBXw4pVjXjjgTjOL4oUQsNjphMga4ocqoYgjVcc54p9k0ujnUwgGp01bDK4pvuS9R0dz58,P1Win,,1,0
中前タゲ,2069,1085,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001na5X01agej2klbgp01mkBGhQuySp01AQAp01APlp01zMyOkwqQiOfXQ2EOgtEn0OgYsHlwfTlUlwfoxA0weSJfEwenUUjwdWw41anQq09anQsG7a3gNHja3gQolT019Hma5qziCa6vHacr01ACnr01AODajAitpajvVpT,P1Win,,1,0
癒爆クロス,オレンジ,1086,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000tiQj1rG6IjphuI4p00MDyan7ylf9liNmN9liVqk9lj7b29ljfeP90RcU49l1jry90R7NK9l1Cg4aa6QATp00LPUp00L3h5ntde15ntfTW5ntiASp0070pt00i1gp00t37ipcDipq00AOTO00iNTp00KfD,P2Win,,0,0
弾近導核,弱い生き物,1087,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000O2FU01byRT00NJSj0RH2Kakw0etakw2UpN2x2qcU01dubU00coBU00shjamKe81a3fJFra3grUYa3guBUa3gqxGa01dHHa00e0qa3fqPpa3gNGmamLnvNU01AQUa00YfNa011VLg00P5jgoUHMIamKKm8amKN35p01f5Gp01gGkp01bCap01a1Bp00TCPp00EQcx5Qzs6x5QIQRv00WjH,P1Win,,1,0
地面置き機,,1088,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000e3Vm00vNtm00x9rm00yupm00zPnm00Bblm00CwjjnPuTajmK1vJ,P1Win,,1,0
近導核,わにさしs,1089,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000jpeT00ULmT01AOxU00Oz2U00rYFU004RjO00iTAp01yGip01tkpp01nXBp01hdXp01fURp004o5p01jSKoozdPSo0Ja0egnPKblgoUS2Ug00XI9N0RKhAa1NViNajvr69ajvsXTajvuQEa54WhAa54YXw8e6EoUa1NXYJa2wFVna2wDfra1Nei18pD685U01bBva2xnVQr00Ycs,P1Win,,1,0
中中トンボ繕突,解答欄魔,1090,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000IEVp01fnUT00SRTL00I8tLoLzbPa0RGfPt00L6lt00tTht00Cust00BWBt00BWIt00BWIt00BWIt00Cutajvidcajvk5YajvsVht00Cuwt00Cuwp01p1Uajvo878mKHpxLiMbOy8jvpcGp01kJJp00Wl6ajvgkqhp4jpK,Draw,,0,0.5
ステージ2++,竜,1091,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000e3Vt00z17t00HCdt00Qelt00deSt00ddst00cUE3pVCxg3pVtV63pVkvM3pVbTGw04Gh6w04GfFw04Geiw04Eluw04EmTw04Eokw04Cvzw04Cu9w04CsJJkVOEl,P1Win,,1,0
補助近タゲ,闇,1092,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001dIlU01AyeU01AyPT01Aj4a01zdba01AhKa01yp08mLmpo801AhT801APj8mLnel8mLndIa01y9na01xRma01Aiwa01Ayij01iObj013vz401jlXX00X8yw3gciXw3gfwGO3gd79w3gdDVw3gbeodmLmpxv01A28,P1Win,,1,0
星正面弾幕,未確認飛行物体,1093,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001dMsp01eRUp01xpSp01z1Gp01ASPp01Aybp01rJyp01iRop01agYalsXXlalt0Q4alt2IOajvN8UajvPOQp01AAMp01AA2p01pxWa1T9hLa1T6APPplLuqq01ABRjpNblb7pmz817pmClJ7pmFzs9ngCLk9ngNfM9n89I59oq7Gp9olSqq9o8P9h9phYCI9pdKmJ9p0H5Ap015Uk,P1Win,,1,0
四本魔,,1094,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000eP06pV2Kr604NLg6p4csXs012dp919yMo9p3PV09nkeyp9oYqDLr00I7kr00RwE4pVlhh400S3S4pVEU9q00unl60zIw9,P1Win,,1,0
闇ラビッツ,竜,1095,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000AQXU01eMhU00UXKU00AhrU00hsUapifoWapidMAapibTPa3tqBJa3toIYa3tmQeajRb1UajR99aajR7gpac43ubac41Bqac3YIFT01uVpa65BUAa65A2Pa65ya5U01AljanuqYpanuoit8pWdLF8nM0t4o3YGayp015FfoolMHRJmGWrzp01mVmLmOXz7g01evSdmYs8Ggpv9hWU00PVi,P1Win,,1,0
上前界突（反動乗り込み入り）,ギンツー,1096,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001gpvt01ewRt01ewRt01ewRt01ewRt01ewRt01ewRt01ewRt01ewRt01ewRt01ewRp01yFpp01xl0p01w0Bp01daVp00YJYp01fSJo01AOxo16uNnU01rpLajvJjqajvM0majw5h7ajw7X3a01sdWa01uTS,P1Win,,1,0
導連戦核先,ペン太,1097,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000nc1j00yK7j1NHTXp00LnKp00LU1p00Mrgp00MXvad0mEwajuU7Ta00q8yp00w2Kp00nHwp00EDla3fQ9Qa3fNsQp00f6U7oUiBe7oUlia7oUnY67nPdqA7nPg7w7nPjlf7ntbHn7nteoj7nth5fld0oPlN04Qw1g00hP1g00kvWg00ncSq00MsPp00Uv2p00V3k,P1Win,,1,0
中奥進行乗り込み,,1098,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000gHzU00coxU00DixL00f4VLoUcm2L4Yf1gjoCCRQ9ilb7j9hkuG7gnP0IWgliNEsa00E6aa00GM6dkAgpjG004joanP5iDU00otVO0hUQ6anP7Yza00otoa00rakp00dI8p00p0Ep00wvVp00JWBp00j9hr004jVp00BmPr01ARpp00DgTU01bP2amKW9pa3gsGP801evST01lLUa6vN3Pa6vOVAa6vQOla6vR6ca6vTM8p01lMv,P1Win,,1,0
上前新幹線,,1099,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001huYp01AQGp01AQap01APDp01AP8p01AOCajvOHgajvRofa16vO9a16yv7amLkN2t01exLt01exLt01exLt01exLt01exLt01exLt01exLt01exLt01exLt01exLt01exLt01exLamLntXabV147p01gHW,P1Win,,1,0
上前弾幕突撃(トンボ付き,TAICHILEAF,1100,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001cUWq01vcRjnUCUoE0n1u8p01wgPp01u8St01fTbt019rJt01dt2t01dt2t01dt2t01dt2a3u0zwaks1hcaks3XaamU9imamU6BqT00OOCalXbqM8n7FlRLn3v849p0Hyd9p0CYK9p0xSh9p0svp9p0noK,P1Win,,1,0
中奥弾空爆,弱い生き物,1101,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000t51t00lyDj0RqUdamKpotamKs5qajuOrEp00OQpp00SkJp00Jr9p00wgQp00ihFp00E2Wp00VxDa00Cdxa00ETvld0nXQl9K8rVp015ozx5D0Iix5D7aJx5DdSy9kRO4W9kRtDP9kRE8rvd0gJh9ljfxB9lj8OM9lj1Pw9liU7u,P1Win,,1,0
箱乗り込み,,1102,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000Ywya2xzwSa2xCdOa82mpna6vRnra6vSYNT01nnVa6vVExa6vSXBp01nowp01np7p01npIU011qxT00QdMLmbjBRLnPFCL8mTzWW8mTAL88mTC768mTCUh8kADgV8krOfg8dRRPC8hHnk58jvx1I8pE0gL8pE14W8pE3e6I8jyU3Il6qN6Ijvvpmp01AOLp01n9Up01narp01mTzal23n8al2647a7jmama7jojvp01mDHop5j6pq01momp01mnKo0SgJFp01AyT80ekjUa9p69P,P1Win,,1,0
上前界突トンボ（星入り）,404,1103,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001f5manQpXYanQsEUt017Oyt0171lt0171nt017Ov7pmtGRakO0iQP0RX9OT01aKoamL06JT00Xq4p01pPnU01oc4amc8wqa58Uq9r019WNp01raLamLcJeamLa3it017Owt017OwakAzshp01AONo01Ai4r01nsCo01oN3p01xS4,P1Win,,1,0
上奥回復聖贄突撃,Nightvision65,1104,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000iiFimwFYdp00j5Fakr51Lakr7HHGd0hu0aoQ1yVanPnOKa15x9Ea15zPBp00unRp00tAfjnXVcij0dwknt00f4Ot00f4Ot00f4Ot00f4Op00xk7Fd0718ykVS6xE1rgAw,P1Win,,1,0
戦空爆,オレンジ,1105,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000noj9liTNV9kW19w9kW9dk9liPM29liXPP9kW5bqan7ooGr004jzamJPXsp01AOxp01zL7p01yHGt006YDa2wJWkp00AxPld05oi7kmEJx7kmFO77kr7aU7kr8fu7kvyBi7kvzFRj0VzL1q00zKnT01hcOr01xEgg53wtvE1rcxra2wMDja54E0Pa54FSAa54HLl,P1Win,,1,0
下前突撃（トンボ入り）,TAICHILEAF,1106,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001crSr01caXT01cqb8nLDXtajvJ5VajvGp0LnCYUJjngYh9p01litu013i8ajvKs5ajvIzkajvGGzp01AUgp01ABKa27mvyGgTSvDt01dwOt01dwOt01dwOt01dwOt01dwOp01ASEp01ATsp01tmuai8Gi3p01szyp01tnaai8DB7amLnyla27jOCamLkRpr01cal,P2Win,,0,0
弓弾幕,,1107,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000PRScmXTwwcn3aVL1nCkxf1mBDzg1n34eJ1ngjCc1mk13H109vey1oHpYh111lOUjoM5Pw1oCYCt1puQ20epVhL3jpVDwUq01jm0q01jmxq01bzS30Wjo8gmopgm9oCYSR3489CO35cUIq200EAx1p4qmw1p8NL139sTCa3a35ic9pR56v1olliL35QRHg,P1Win,,1,0
リニア砲,シャア専用豆腐,1108,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000e3Vj00fUSjnPaYKa00ncta00pSrp00DASp00EEGp00Ggfp00HQO800usva00fEua00ilt9kVO9x9l5CDq9liRdI9lrFHB9lEUhT9lNILM9m1Xm59maLPX9mo1qg9mwOU99mK4ur9mSRYklgfkYe,P1Win,,1,0
後方乗り込み,Nightvision65,1109,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001dbxjmp7ghU01yFoaiqVBmU00AxQae5JeGLfaRmILfbjf0agldGsahkV0a8dalz1p00Crc9pdJKN9pdRhO7p4VgUt01egY9pil3Y9pdNfU9pdEnG9p9cG19p99spanQpXKamLnu3p01ypCp01xlzp01sg0ajvM0majvOGia4lO1Aa6w23N7p9lOx7p4YuD7p9qEC4pio1lr01ahb1ngOgdp00kqD,P2Win,,0,0
中速突撃,百景,1110,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001e4ejnLOu9T01aOEp00Ug0abQn7MGgggGl8bckvzp01AUgp01s1Wp01ATFp01AThp01ASGp01ARVamYx1Yamy9fgq0173Ip01f7hp01nb5r014U3a1x4R5a1x7y18jvKblLkNEqSalXvCDalXyzYakSsBJajvN9hr01APqp01AOxr00mjyt01csbt01csbt01csbt01csbt01csbt01csbt01csbr01AQj,P1Win,,1,0
上奥回復突撃（打ち下げ核）,2069,1111,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000gWmi32aCgimwGffN1iwodhpD8x8h0hKArGfX5M0t00pgnt00gV7j1rprLjphhODp00x4lp00Cacp00vc8ajuNl1ajuPdLajuR6wanPmJIanPpqEa15wBwa15ziva01gaXE0mkxwr01ktN,P1Win,,1,0
超跳長連,竜,1112,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000XbnbfFA5op00w1lbfFzxBbfFz0ObfFyt2bfFxVfbfFxosp00hgYbfSAbIbfSzDVbfSyPKbfSy2zbfSxeop00iNSbfawoXbfavRbbfavkobfauMBbfaufObfatI2bfatbfj0Wkegp01nI7p01s0tp01whE,P1Win,,1,0
騎乗り特化,,1113,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000xlTM01awxLp8ysIq00XX7q00V0aq00T6Jq00PAYq00F7Aq00r94jnYpeWj01awx8019rX8mKVEb83gqAf305zNL3lsDM031B6bFM3gpM4a4pSmb5mKVnMT019c7jnts1H5mKVUz5mKUzB5mKVnM31jqfz,P1Win,,1,0
弾幕乗り込み,TAICHILEAF,1114,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001cntp019aMamCgbxU01daVj0no3q4oQVte7eFzJJamCiRtT01xASp01wwOp01wgXp01vcVa5dGuUa5dJbQacRMC9abR4v1p01sN19p5avLai4fA08dFcAi9p571A9p53wO9p50j69p4W5n9p4TEP9p4QXT9p4LR79p4HPb9p4E4E7p4W5n7p0AyE7p4Ut1a2oCTFr01fo6p01ijap00S2O,P1Win,,1,0
跳太郎,,1115,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000e36a00ogea00mUda00pkNq00UL6r01wilbfAYzHbfB0UFbfB1c4bfB1IQbfB2x2bfB34ObfB3S0bfB4Wzq016M9q00IFpp00zxap00qoKr01gWtad0bmvad06xjad0boF,P1Win,,1,0
乱数要塞,OMEGA-0,1116,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,101ns59gpnbuGjqjyUSocCfMr8TgiNb3LqKPp7WXfvxgTvlvvabWCjWhYyq2wew5ogtc5liDL9LkfM,P1Win,,1,0
下奥砲導,悟史のバット,1117,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000e3Vt004nxg007lFgpq0dJgoyeIRj00qGDj00h0t300s2G300sQ9ad05tDajuG9MajuKbCajuNFMp012WXp012XHp012Ysp0130ep013htp013yGp013PUp013Aj81sHO74oYMYB9mJTOh9mK0IV9mK5z19o3cWQ9o3iRv9o3nXY3aKvnUvmKbJFvmKicv,P1Win,,1,0
ステージ戦風,,1118,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000e2Y4pVFKYp013zUp013iW4oQA1Sp00T9X4ohcIxp00LCk4ngodUp00BoNp00l0Lp005pVlpVrMwlpV8XYlpUSUWp004Q0p00ewcp00osKp00xRx41Ji11kfwB5Akfs3JykfeG6qp00u99p00cVX,P1Win,,1,0
下前弩多め弾幕,ＮＡＧ,1119,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001dg4t01aPzt01b6Wp01AUgp01ATJp01ATep01ASIp01qqS4nQfzta01tE4a01qX8a2oT80p016s7ajvGGQajvIzAajvKslq01cqpp0157Oaom7UCaom5eEp01ASdp01ofF7kwl0gp012tS7krWRb7knzJ67kjcRp7mL10D7mPnRk7mTL0p7mY83U7oV5aR7p0wkQ7p4XuP7npywz7npAFI7nu2zj7o4ezwE0WrgsjjJ6Lhg0a1dJ9kWN5h,P2Win,,0,0
下前高速トンボ,ドロド,1120,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,001hxXLo49IHp01AU5anQig9akwu6RakwrpWp01AT2T01kwgajvSgAanQkW8t01eAXt01eAXt01eAXt01eAXt01eAXt01eAXt01eAXt01eAXt01eAXt01eAXt01eAXt01eAXaiMn9baiuMQl,P2Win,,0,0
スイング機魔,,1121,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000lQlzd0qrHW00z256oYUviN0dV8vjjInHkjpVelQ400Jvxzeni0empDy8HiokYBMp014Eup015Iop015Yc800GhOd00Bbl209y0q,P1Win,,1,0
上向き砲！,,1122,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000P6R9juB4D9juGHT9juLhA9juPju9juUWK9jv6aH9jvhIC9jvlKw9jvpMq9jvu5I9jvA0n9jvJ8K9jvRJl9jw4P39jvXUo9jvSh89jvPAc9jvLOG9jvIRm9jvDuu9jvyUNaoUYKh,P1Win,,1,0
同時発射弾幕,,1123,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000kvgj0mhFtjnPb139phfKK9oLpxE9ogzky9nKJ7s9nfSTm9mK3Gg9mfdta9lJng49lex2Xa00tnna00w4ma00uH5p00D3ap00DPKp00EmVp00l1R7phfdX7oybLx7nP8k77n74RG7mo1qg7lEWXP7kVTwp7oUiRC7oyh9p7ocfqc7nPdGY7ntbXL7n7afy7mK8wl,P1Win,,1,0
乱数要塞,OMEGA-0,1124,000iPai327EMU00yoGajv6Sdajv92m8dmCyAp00BD0T01AOyr004jLa1vzWwakirOza58fR74phqHB7kdRkI7kieoh9oU1RH9oPHuX9pcP7U9pcUuM9oUnTa7oU2FP7p41D27oUgmQt008kL6008m0p01ASjr01ATsj0ImgMajw7X3ajw5h7LgfltA,000jD743OYTNAkj7H5XnUjTwo5PWiqQkRSDEtoy9hARj4YOvn3G0lAM76keEn43GEa4cR1RKNhcP7frb47haraPIyjLeJqnA,P1Win,,1,0
